sku;handle;produto;categoria;custo;venda;aliexpress;foto_local
tech-001;fone-tws-pulse;Fone TWS Pulse;Tech;28,44;56,88;https://pt.aliexpress.com/item/1005010391183440.html;assets/img/ali/tech-001.jpg
tech-002;fone-esportivo-gancho;Fone Esportivo Gancho;Tech;32,12;64,24;https://pt.aliexpress.com/item/1005010802856880.html;assets/img/ali/tech-002.jpg
tech-003;fone-gamer-rgb;Fone Gamer RGB;Tech;38,33;76,66;https://pt.aliexpress.com/item/1005009841006834.html;assets/img/ali/tech-003.jpg
tech-004;fone-conducao-ossea;Fone Condução Óssea;Tech;77,18;154,36;https://pt.aliexpress.com/item/1005006904617360.html;assets/img/ali/tech-004.jpg
tech-005;smartwatch-x1;Smartwatch X1;Tech;61,12;122,24;https://pt.aliexpress.com/item/1005008908936664.html;assets/img/ali/tech-005.jpg
tech-006;smartwatch-esportivo;Smartwatch Esportivo;Tech;69,93;139,86;https://pt.aliexpress.com/item/1005012242507031.html;assets/img/ali/tech-006.jpg
tech-007;carregador-mag-15w;Carregador Mag 15W;Tech;35,22;70,44;https://pt.aliexpress.com/item/1005010796075440.html;assets/img/ali/tech-007.jpg
tech-008;power-bank-20000mah;Power Bank 20000mAh;Tech;64,23;128,46;https://pt.aliexpress.com/item/1005009905569823.html;assets/img/ali/tech-008.jpg
tech-009;cabo-usb-c-2m;Cabo USB-C 2m;Tech;9,84;19,68;https://pt.aliexpress.com/item/1005012775965431.html;assets/img/ali/tech-009.jpg
tech-010;hub-usb-c-6-em-1;Hub USB-C 6 em 1;Tech;49,73;99,46;https://pt.aliexpress.com/item/1005007398525395.html;assets/img/ali/tech-010.jpg
tech-011;capa-iphone-silicone;Capa iPhone Silicone;Tech;12,90;25,80;https://pt.aliexpress.com/w/wholesale-iphone+silicone+case.html;assets/img/ali/tech-011.jpg
tech-012;capa-android-fosca;Capa Android Fosca;Tech;11,40;22,80;https://pt.aliexpress.com/w/wholesale-android+matte+phone+case.html;assets/img/ali/tech-012.jpg
tech-013;pelicula-privacidade;Película Privacidade;Tech;9,32;18,64;https://pt.aliexpress.com/w/wholesale-privacy+screen+protector.html;assets/img/ali/tech-013.jpg
tech-014;suporte-mesa-articulado;Suporte Mesa Articulado;Tech;17,61;35,22;https://pt.aliexpress.com/w/wholesale-desktop+phone+stand+adjustable.html;assets/img/ali/tech-014.jpg
tech-015;mini-projetor-portatil;Mini Projetor Portátil;Tech;145,04;290,08;https://pt.aliexpress.com/w/wholesale-mini+portable+projector.html;assets/img/ali/tech-015.jpg
tech-016;teclado-bluetooth-slim;Teclado Bluetooth Slim;Tech;54,39;108,78;https://pt.aliexpress.com/w/wholesale-slim+bluetooth+keyboard.html;assets/img/ali/tech-016.jpg
tech-017;mouse-silencioso;Mouse Silencioso;Tech;26,42;52,84;https://pt.aliexpress.com/w/wholesale-silent+wireless+mouse.html;assets/img/ali/tech-017.jpg
tech-018;webcam-full-hd;Webcam Full HD;Tech;68,38;136,76;https://pt.aliexpress.com/w/wholesale-webcam+1080p+autofocus.html;assets/img/ali/tech-018.jpg
tech-019;luminaria-anel-led;Luminária Anel LED;Tech;45,07;90,14;https://pt.aliexpress.com/w/wholesale-ring+light+10+inch.html;assets/img/ali/tech-019.jpg
tech-020;adaptador-hdmi-4k;Adaptador HDMI 4K;Tech;22,27;44,54;https://pt.aliexpress.com/w/wholesale-hdmi+adapter+4k+usb+c.html;assets/img/ali/tech-020.jpg
casa-021;capa-de-sofa-2-lugares;Capa de Sofá 2 Lugares;Casa;38,23;76,46;https://pt.aliexpress.com/w/wholesale-sofa+cover+2+seater+stretch.html;assets/img/ali/casa-021.jpg
casa-022;capa-de-sofa-3-lugares;Capa de Sofá 3 Lugares;Casa;46,10;92,20;https://pt.aliexpress.com/w/wholesale-sofa+cover+3+seater+stretch.html;assets/img/ali/casa-022.jpg
casa-023;organizador-de-joias;Organizador de Joias;Casa;44,96;89,92;https://pt.aliexpress.com/w/wholesale-jewelry+organizer+box.html;assets/img/ali/casa-023.jpg
casa-024;almofada-lombar;Almofada Lombar;Casa;65,99;131,98;https://pt.aliexpress.com/w/wholesale-lumbar+support+pillow.html;assets/img/ali/casa-024.jpg
casa-025;travesseiro-cervical;Travesseiro Cervical;Casa;58,02;116,04;https://pt.aliexpress.com/w/wholesale-cervical+memory+foam+pillow.html;assets/img/ali/casa-025.jpg
casa-026;suporte-vassoura-parede;Suporte Vassoura Parede;Casa;26,78;53,56;https://pt.aliexpress.com/w/wholesale-broom+holder+wall+mount.html;assets/img/ali/casa-026.jpg
casa-027;capa-de-fogao;Capa de Fogão;Casa;16,42;32,84;https://pt.aliexpress.com/w/wholesale-stove+burner+covers.html;assets/img/ali/casa-027.jpg
casa-028;cortina-blackout;Cortina Blackout;Casa;75,11;150,22;https://pt.aliexpress.com/w/wholesale-blackout+curtains+living+room.html;assets/img/ali/casa-028.jpg
