Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Gift Card,SEO Title,SEO Description,Status
fone-tws-pulse,Fone TWS Pulse,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-001,300,shopify,41,deny,manual,56.88,,TRUE,FALSE,FALSE,Fone TWS Pulse — ALVA,Tech · envio após a confirmação do pagamento.,active
fone-esportivo-gancho,Fone Esportivo Gancho,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-002,300,shopify,42,deny,manual,64.24,,TRUE,FALSE,FALSE,Fone Esportivo Gancho — ALVA,Tech · envio após a confirmação do pagamento.,active
fone-gamer-rgb,Fone Gamer RGB,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-003,300,shopify,43,deny,manual,76.66,,TRUE,FALSE,FALSE,Fone Gamer RGB — ALVA,Tech · envio após a confirmação do pagamento.,active
fone-conducao-ossea,Fone Condução Óssea,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-004,300,shopify,44,deny,manual,154.36,,TRUE,FALSE,FALSE,Fone Condução Óssea — ALVA,Tech · envio após a confirmação do pagamento.,active
smartwatch-x1,Smartwatch X1,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-005,300,shopify,45,deny,manual,122.24,,TRUE,FALSE,FALSE,Smartwatch X1 — ALVA,Tech · envio após a confirmação do pagamento.,active
smartwatch-esportivo,Smartwatch Esportivo,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-006,300,shopify,46,deny,manual,139.86,,TRUE,FALSE,FALSE,Smartwatch Esportivo — ALVA,Tech · envio após a confirmação do pagamento.,active
carregador-mag-15w,Carregador Mag 15W,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-007,300,shopify,47,deny,manual,70.44,,TRUE,FALSE,FALSE,Carregador Mag 15W — ALVA,Tech · envio após a confirmação do pagamento.,active
power-bank-20000mah,Power Bank 20000mAh,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-008,300,shopify,48,deny,manual,128.46,,TRUE,FALSE,FALSE,Power Bank 20000mAh — ALVA,Tech · envio após a confirmação do pagamento.,active
cabo-usb-c-2m,Cabo USB-C 2m,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-009,300,shopify,49,deny,manual,19.68,,TRUE,FALSE,FALSE,Cabo USB-C 2m — ALVA,Tech · envio após a confirmação do pagamento.,active
hub-usb-c-6-em-1,Hub USB-C 6 em 1,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-010,300,shopify,50,deny,manual,99.46,,TRUE,FALSE,FALSE,Hub USB-C 6 em 1 — ALVA,Tech · envio após a confirmação do pagamento.,active
capa-iphone-silicone,Capa iPhone Silicone,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-011,300,shopify,51,deny,manual,25.80,,TRUE,FALSE,FALSE,Capa iPhone Silicone — ALVA,Tech · envio após a confirmação do pagamento.,active
capa-android-fosca,Capa Android Fosca,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-012,300,shopify,52,deny,manual,22.80,,TRUE,FALSE,FALSE,Capa Android Fosca — ALVA,Tech · envio após a confirmação do pagamento.,active
pelicula-privacidade,Película Privacidade,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-013,300,shopify,53,deny,manual,18.64,,TRUE,FALSE,FALSE,Película Privacidade — ALVA,Tech · envio após a confirmação do pagamento.,active
suporte-mesa-articulado,Suporte Mesa Articulado,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-014,300,shopify,54,deny,manual,35.22,,TRUE,FALSE,FALSE,Suporte Mesa Articulado — ALVA,Tech · envio após a confirmação do pagamento.,active
mini-projetor-portatil,Mini Projetor Portátil,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-015,300,shopify,55,deny,manual,290.08,,TRUE,FALSE,FALSE,Mini Projetor Portátil — ALVA,Tech · envio após a confirmação do pagamento.,active
teclado-bluetooth-slim,Teclado Bluetooth Slim,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-016,300,shopify,56,deny,manual,108.78,,TRUE,FALSE,FALSE,Teclado Bluetooth Slim — ALVA,Tech · envio após a confirmação do pagamento.,active
mouse-silencioso,Mouse Silencioso,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-017,300,shopify,57,deny,manual,52.84,,TRUE,FALSE,FALSE,Mouse Silencioso — ALVA,Tech · envio após a confirmação do pagamento.,active
webcam-full-hd,Webcam Full HD,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-018,300,shopify,58,deny,manual,136.76,,TRUE,FALSE,FALSE,Webcam Full HD — ALVA,Tech · envio após a confirmação do pagamento.,active
luminaria-anel-led,Luminária Anel LED,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-019,300,shopify,59,deny,manual,90.14,,TRUE,FALSE,FALSE,Luminária Anel LED — ALVA,Tech · envio após a confirmação do pagamento.,active
adaptador-hdmi-4k,Adaptador HDMI 4K,<p>Tech · envio após a confirmação do pagamento.</p>,ALVA,,Tech,Tech,TRUE,Title,Default Title,tech-020,300,shopify,60,deny,manual,44.54,,TRUE,FALSE,FALSE,Adaptador HDMI 4K — ALVA,Tech · envio após a confirmação do pagamento.,active
capa-de-sofa-2-lugares,Capa de Sofá 2 Lugares,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-021,300,shopify,61,deny,manual,76.46,,TRUE,FALSE,FALSE,Capa de Sofá 2 Lugares — ALVA,Casa · envio após a confirmação do pagamento.,active
capa-de-sofa-3-lugares,Capa de Sofá 3 Lugares,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-022,300,shopify,62,deny,manual,92.20,,TRUE,FALSE,FALSE,Capa de Sofá 3 Lugares — ALVA,Casa · envio após a confirmação do pagamento.,active
organizador-de-joias,Organizador de Joias,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-023,300,shopify,63,deny,manual,89.92,,TRUE,FALSE,FALSE,Organizador de Joias — ALVA,Casa · envio após a confirmação do pagamento.,active
almofada-lombar,Almofada Lombar,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-024,300,shopify,64,deny,manual,131.98,,TRUE,FALSE,FALSE,Almofada Lombar — ALVA,Casa · envio após a confirmação do pagamento.,active
travesseiro-cervical,Travesseiro Cervical,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-025,300,shopify,65,deny,manual,116.04,,TRUE,FALSE,FALSE,Travesseiro Cervical — ALVA,Casa · envio após a confirmação do pagamento.,active
suporte-vassoura-parede,Suporte Vassoura Parede,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-026,300,shopify,66,deny,manual,53.56,,TRUE,FALSE,FALSE,Suporte Vassoura Parede — ALVA,Casa · envio após a confirmação do pagamento.,active
capa-de-fogao,Capa de Fogão,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-027,300,shopify,67,deny,manual,32.84,,TRUE,FALSE,FALSE,Capa de Fogão — ALVA,Casa · envio após a confirmação do pagamento.,active
cortina-blackout,Cortina Blackout,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-028,300,shopify,68,deny,manual,150.22,,TRUE,FALSE,FALSE,Cortina Blackout — ALVA,Casa · envio após a confirmação do pagamento.,active
tapete-passadeira,Tapete Passadeira,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-029,300,shopify,69,deny,manual,101.52,,TRUE,FALSE,FALSE,Tapete Passadeira — ALVA,Casa · envio após a confirmação do pagamento.,active
luminaria-de-mesa,Luminária de Mesa,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-030,300,shopify,70,deny,manual,105.68,,TRUE,FALSE,FALSE,Luminária de Mesa — ALVA,Casa · envio após a confirmação do pagamento.,active
fita-led-5m-rgb,Fita LED 5m RGB,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-031,300,shopify,71,deny,manual,66.30,,TRUE,FALSE,FALSE,Fita LED 5m RGB — ALVA,Casa · envio após a confirmação do pagamento.,active
umidificador-300ml,Umidificador 300ml,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-032,300,shopify,72,deny,manual,83.92,,TRUE,FALSE,FALSE,Umidificador 300ml — ALVA,Casa · envio após a confirmação do pagamento.,active
relogio-de-parede,Relógio de Parede,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-033,300,shopify,73,deny,manual,78.74,,TRUE,FALSE,FALSE,Relógio de Parede — ALVA,Casa · envio após a confirmação do pagamento.,active
cabideiro-de-porta,Cabideiro de Porta,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-034,300,shopify,74,deny,manual,43.52,,TRUE,FALSE,FALSE,Cabideiro de Porta — ALVA,Casa · envio após a confirmação do pagamento.,active
caixa-organizadora,Caixa Organizadora,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-035,300,shopify,75,deny,manual,61.12,,TRUE,FALSE,FALSE,Caixa Organizadora — ALVA,Casa · envio após a confirmação do pagamento.,active
protetor-de-quina,Protetor de Quina,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-036,300,shopify,76,deny,manual,29.00,,TRUE,FALSE,FALSE,Protetor de Quina — ALVA,Casa · envio após a confirmação do pagamento.,active
puxador-adesivo,Puxador Adesivo,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-037,300,shopify,77,deny,manual,24.86,,TRUE,FALSE,FALSE,Puxador Adesivo — ALVA,Casa · envio após a confirmação do pagamento.,active
varal-retratil,Varal Retrátil,<p>Casa · envio após a confirmação do pagamento.</p>,ALVA,,Casa,Casa,TRUE,Title,Default Title,casa-038,300,shopify,78,deny,manual,71.48,,TRUE,FALSE,FALSE,Varal Retrátil — ALVA,Casa · envio após a confirmação do pagamento.,active
